Full Design,Target Ratio Objective,Stiffness Objective,Feasibility Score,Stability Score
001000000010000011000101001000101010,0.07661984460385508,-0.4652861631578027,1.0,0.8
011000000000000111000101001000101010,0.10656144248414148,-0.6097917106589759,1.0,0.8
001000000000000011000101001000101010,0.08814462444103725,-0.5114626157244344,1.0,0.8
011000000000000011000101001000101010,0.10129990776753688,-0.5982484393024488,1.0,0.8
001000000100000011000101001000101010,0.08725402268103805,-0.4800675414996174,1.0,0.8
010000000000000010000101001000101010,0.11842766017414383,-0.7134269346482035,1.0,0.8
001000000010000011000100001000100010,0.09966940427821941,-0.5663104733414875,1.0,0.8
010000000000000010000101001000101010,0.11842766017414383,-0.7134269346482035,1.0,0.8
011000000000000011000100001000100010,0.11842766017414383,-0.7134269346482035,1.0,0.8
001000000000000111000101001000101010,0.09747358095047669,-0.5386432252773778,1.0,0.8
010000000000000010000100001000100010,0.13555541258075077,-0.8763464186355279,1.0,0.8
001000000010000011000100001000100010,0.09966940427821941,-0.5663104733414875,1.0,0.8
010000000000000000000100001000100010,0.23225080915972257,-0.8950970494993248,1.0,0.6000000000000001
001000000000000011000101001000101010,0.08814462444103725,-0.5114626157244344,1.0,0.8
001000000000000011000100001000100010,0.11119418411540156,-0.632525430952553,1.0,0.8
001000000010000011000101001000101010,0.07661984460385508,-0.4652861631578027,1.0,0.8
010000000000000010000100001000100010,0.13555541258075077,-0.8763464186355279,1.0,0.8
010000000000000010000101001000101010,0.11842766017414383,-0.7134269346482035,1.0,0.8
010000000000000000000100001000100010,0.23225080915972257,-0.8950970494993248,1.0,0.6000000000000001
010000000000000010000101001000101010,0.11842766017414383,-0.7134269346482035,1.0,0.8
001000000000000111000101001000101010,0.09747358095047669,-0.5386432252773778,1.0,0.8
010000000000000010000101001000101010,0.11842766017414383,-0.7134269346482035,1.0,0.8
010100000000000010000101001000101010,0.11644031993465852,-0.6601695016638554,1.0,0.8
001000000010000011000101001000101010,0.07661984460385508,-0.4652861631578027,1.0,0.8
011000000000000011000100001000100010,0.11842766017414383,-0.7134269346482035,1.0,0.8
