Full Design,Target Ratio Objective,Stiffness Objective,Feasibility Score,Stability Score
101000001000000011000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001000000011000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001010000001000100000010010101,0.03735836469874756,-0.6047790424940281,1.0,0.8
101000001001000001000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001110000001000100000010000101,0.03735836469874754,-0.6047790424940279,1.0,0.8
101000001000000011000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
100000001000000000000101001010001101,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
101000001010000001000100000010010101,0.03735836469874756,-0.6047790424940281,1.0,0.8
101000001100000001000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001100000001000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001010000001000100100010000101,0.03735836469874756,-0.6047790424940281,1.0,0.8
101000001100000001000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001000000001000101001010001101,0.033333333333333326,-0.6417112299465242,1.0,0.6000000000000001
101000001011000001000100000010000101,0.03735836469874754,-0.6047790424940279,1.0,0.8
101000001000000001000100001010000101,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
100000001000000000000100001000100101,0.197592740842366,-1.0614836117115922,1.0,0.6000000000000001
101000001100000001000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
100000001000000000000101001010001101,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
101000001100000001000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001011000001000100000010000101,0.03735836469874754,-0.6047790424940279,1.0,0.8
101000001100000001000101000000001101,0.03735836469874754,-0.6047790424940279,1.0,0.7000000000000001
101000001100000001000101001010001101,0.03147844799669253,-0.6021137510853921,1.0,0.8
101000001010000001000100001010000101,0.06666666666666668,-0.7058823529411766,1.0,0.6000000000000001
101000001010000001000100001000000101,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
101000001010000001000100001010000101,0.06666666666666668,-0.7058823529411766,1.0,0.6000000000000001
